92 63 92 57 31 72 45 25 61 92 
88 95 20 75 40 48 99 93 48 30 
55 63 44 24 10 67 83 35 83 59 
5 51 52 41 36 23 1 75 23 46 
54 8 64 0 0 5 57 72 98 32 
34 86 84 29 85 88 92 35 9 61 
19 45 10 4 19 40 100 22 30 7 
8 11 83 18 89 42 46 49 90 15 
87 12 15 10 53 97 8 93 66 47 
53 87 47 6 78 54 65 25 100 47 
41 28 31 23 37 2 30 62 50 86 
33 8 14 83 35 26 98 7 24 22 
36 20 12 91 97 29 85 49 28 17 
20 15 27 52 34 62 29 85 79 44 
11 24 78 75 81 27 87 80 86 17 
66 67 83 32 81 50 45 98 65 99 
100 88 7 92 57 85 32 99 99 83 
71 62 42 7 70 73 6 43 53 76 
70 16 70 37 58 63 98 1 83 47 
34 67 34 95 80 22 40 47 49 42 
32 27 6 14 54 50 81 65 97 64 
65 92 49 80 64 82 71 71 50 50 
46 68 64 34 95 56 36 10 19 41 
50 48 39 40 60 26 21 32 97 38 
91 51 100 57 22 78 35 53 46 53 
15 16 0 59 9 62 99 52 22 74 
66 3 100 53 12 2 12 12 30 85 
28 70 7 88 28 21 61 48 38 82 
42 74 33 91 42 58 95 2 68 50 
44 89 95 87 0 84 35 85 34 69 
14 97 12 31 3 26 9 100 39 23 
12 93 99 13 8 19 52 58 12 87 
93 78 73 57 80 21 68 61 16 32 
2 95 20 35 42 27 72 70 21 66 
88 78 50 44 5 65 15 52 44 2 
69 96 100 66 52 37 54 63 32 40 
42 65 25 71 10 50 49 13 74 20 
6 66 40 7 29 45 62 2 69 32 
17 3 95 44 9 79 18 91 66 7 
2 11 97 77 17 22 93 15 20 67 
18 30 67 1 45 34 37 25 61 70 
71 37 1 41 92 98 8 53 29 74 
65 3 3 72 82 49 27 45 91 30 
14 25 39 52 11 44 54 17 77 21 
33 44 71 82 56 33 87 42 21 73 
72 74 0 7 84 26 98 69 7 6 
28 19 71 37 6 41 80 81 88 71 
44 48 31 65 81 27 27 66 76 14 
19 66 55 62 98 18 7 56 65 25 
14 74 2 86 86 70 15 15 5 54 
1 5 25 11 1 28 33 3 91 63 
11 86 89 66 91 68 80 86 61 6 
42 11 69 97 97 60 93 12 9 23 
69 22 90 55 10 11 14 65 65 12 
10 4 40 75 63 9 84 34 75 27 
3 61 12 64 23 71 12 54 72 90 
54 30 10 70 23 76 23 25 21 78 
16 12 23 75 55 24 85 77 86 16 
66 86 60 6 6 83 51 61 65 45 
95 29 42 4 48 81 1 39 95 94 
21 60 18 31 22 60 27 83 6 24 
96 42 11 85 26 65 80 54 86 60 
25 39 48 43 13 48 49 10 26 22 
42 65 39 51 39 56 91 40 13 20 
2 25 3 38 13 74 26 82 69 40 
96 4 58 32 31 74 76 92 27 30 
100 45 78 95 65 6 3 86 97 5 
24 11 25 29 47 16 31 24 49 21 
45 20 52 57 9 80 68 15 88 87 
0 64 96 79 73 28 96 72 17 92 
96 40 87 68 11 73 10 89 84 93 
0 57 61 63 7 96 57 71 10 96 
73 14 21 67 35 16 20 93 52 39 
58 0 59 43 18 80 44 8 14 -1
